tick,time_s,blue-0_team,blue-0_profile,blue-1_team,blue-1_profile,blue-2_team,blue-2_profile,orange-0_team,orange-0_profile,orange-1_team,orange-1_profile,orange-2_team,orange-2_profile
12360,103.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12368,103.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12376,103.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12384,103.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12392,103.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12400,103.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12408,103.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12416,103.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12424,103.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12432,103.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12440,103.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12448,103.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12456,103.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12464,103.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12472,103.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12480,104.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12488,104.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12496,104.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12504,104.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12512,104.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12520,104.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12528,104.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12536,104.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12544,104.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12552,104.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12560,104.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12568,104.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12576,104.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12584,104.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12592,104.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12600,105.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12608,105.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12616,105.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12624,105.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12632,105.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12640,105.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12648,105.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12656,105.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12664,105.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12672,105.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12680,105.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12688,105.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12696,105.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12704,105.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12712,105.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12720,106.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12728,106.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12736,106.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12744,106.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12752,106.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12760,106.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12768,106.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12776,106.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12784,106.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12792,106.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12800,106.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12808,106.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12816,106.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12824,106.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12832,106.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12840,107.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12848,107.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12856,107.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12864,107.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12872,107.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12880,107.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12888,107.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12896,107.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12904,107.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12912,107.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
