tick,time_s,ball_x,ball_y,ball_z,ball_vx,ball_vy,ball_vz,score_blue,score_orange,last_touch_aid,last_touch_team,last_touch_tick,blue-0_team,blue-0_x,blue-0_y,blue-0_z,blue-0_vx,blue-0_vy,blue-0_vz,blue-0_boost,blue-0_profile,blue-1_team,blue-1_x,blue-1_y,blue-1_z,blue-1_vx,blue-1_vy,blue-1_vz,blue-1_boost,blue-1_profile,orange-0_team,orange-0_x,orange-0_y,orange-0_z,orange-0_vx,orange-0_vy,orange-0_vz,orange-0_boost,orange-0_profile,orange-1_team,orange-1_x,orange-1_y,orange-1_z,orange-1_vx,orange-1_vy,orange-1_vz,orange-1_boost,orange-1_profile,touch_streak_blue,touch_streak_orange,last_touch_bonus
25904,215.86666666666667,2415.162353515625,4545.00244140625,92.41563415527344,-14.02289867401123,-0.7361617684364319,0.0,0,0,blue-0,0,8464,0,3569.25390625,146.08331298828125,71.66812133789062,694.250244140625,105.91565704345703,240.3657684326172,92.78509521484375,P_base,0,2605.83203125,2988.00634765625,110.08406829833984,504.83819580078125,-296.9472961425781,-124.1641616821289,0.0,P_base,1,-1897.6766357421875,1271.102783203125,38.591773986816406,75.07967376708984,281.2645568847656,-127.47929382324219,0.0,P_base,1,-652.1744384765625,-432.9830627441406,72.91356658935547,416.0628662109375,382.1337890625,244.9869842529297,0.0,P_base,1,0,0.1
25912,215.93333333333334,2414.228515625,4544.95361328125,92.41563415527344,-13.999528884887695,-0.7350948452949524,0.0,0,0,blue-0,0,8464,0,3615.536865234375,153.14431762695312,86.06751251220703,694.250244140625,105.91565704345703,197.0325164794922,92.78509521484375,P_base,0,2639.387939453125,2968.28564453125,100.14971160888672,501.818603515625,-294.680419921875,-168.4264373779297,0.0,P_base,1,-1890.840087890625,1287.571533203125,29.363811492919922,123.02368927001953,224.95066833496094,-146.4196319580078,0.0,P_base,1,-624.43701171875,-407.50738525390625,87.62104034423828,416.0628662109375,382.1337890625,201.65374755859375,0.0,P_base,1,0,0.1
25920,216.0,2413.295654296875,4544.90478515625,92.41563415527344,-13.98127269744873,-0.7340294122695923,0.0,0,0,blue-0,0,8464,0,3661.81982421875,160.205322265625,97.57801055908203,694.250244140625,105.91565704345703,153.6991729736328,92.78509521484375,P_base,0,2672.813720703125,2948.661376953125,87.28839111328125,501.3793029785156,-294.3616027832031,-211.87799072265625,0.0,P_base,1,-1881.9984130859375,1301.2940673828125,19.12510871887207,133.32958984375,189.72796630859375,-135.7284698486328,0.0,P_base,1,-596.5823364257812,-381.9764099121094,99.4428482055664,419.59124755859375,383.7629699707031,158.4381103515625,0.0,P_base,1,0,0.1
25928,216.06666666666666,2412.364501953125,4544.85595703125,92.41563415527344,-13.963037490844727,-0.7329655885696411,0.0,0,0,blue-0,0,8464,0,3708.102783203125,167.26632690429688,106.1996078491211,694.250244140625,105.91565704345703,110.36582946777344,92.78509521484375,P_base,0,2706.135986328125,2929.113037109375,71.51744079589844,498.2861022949219,-292.0868225097656,-255.82852172851562,0.0,P_base,1,-1873.1312255859375,1311.981201171875,16.167726516723633,128.1568603515625,143.03411865234375,7.2035441398620605,0.0,P_base,1,-568.5755615234375,-356.3778991699219,108.38229370117188,420.1027526855469,383.9779357910156,115.13319396972656,0.0,P_base,1,0,0.1
25936,216.13333333333333,2411.434326171875,4544.80712890625,92.41563415527344,-13.939769744873047,-0.7319032549858093,0.0,0,0,blue-0,0,8464,0,3756.458984375,173.84828186035156,111.41178894042969,756.1704711914062,90.82101440429688,51.07583236694336,90.84262084960938,P_base,0,2739.222412109375,2909.73828125,52.810890197753906,494.7554016113281,-289.4812316894531,-299.8675842285156,0.0,P_base,1,-1864.3765869140625,1322.934814453125,16.703601837158203,141.3506622314453,200.4910430908203,6.144589900970459,0.0,P_base,1,-540.4462890625,-330.7390441894531,114.4466552734375,423.783203125,385.1563415527344,72.22875213623047,0.0,P_base,1,0,0.1
25944,216.2,2410.505859375,4544.75830078125,92.41563415527344,-13.921588897705078,-0.7308425307273865,0.0,0,0,blue-0,0,8464,0,3808.9375,179.26817321777344,112.58903503417969,797.2984619140625,78.06586456298828,-4.321726322174072,89.45513916015625,P_base,0,2770.599365234375,2891.28515625,34.476356506347656,439.20159912109375,-259.9106750488281,-241.12973022460938,0.0,P_base,1,-1854.550537109375,1335.74462890625,16.941381454467773,144.2616729736328,164.19549560546875,2.0249218940734863,0.0,P_base,1,-512.033935546875,-305.0216064453125,117.65897369384766,428.0615234375,386.1828918457031,29.51332664489746,0.0,P_base,1,0,0.1
25952,216.26666666666668,2409.57861328125,4544.70947265625,92.41563415527344,-13.898387908935547,-0.729783296585083,0.0,0,0,blue-0,0,8464,0,3864.0537109375,183.74598693847656,110.02911376953125,856.0506591796875,55.9403190612793,-67.08543395996094,87.51266479492188,P_base,0,2798.770751953125,2875.222900390625,25.162389755249023,420.9677734375,-232.0363311767578,-97.45575714111328,0.0,P_base,1,-1843.3848876953125,1346.4635009765625,17.010473251342773,201.08731079101562,173.01638793945312,0.5273782014846802,0.0,P_base,1,-483.4607238769531,-279.268798828125,118.00787353515625,428.59796142578125,386.2913513183594,-13.724665641784668,0.0,P_base,1,0,0.1
25960,216.33333333333334,2408.652587890625,4544.66064453125,92.41563415527344,-13.880261421203613,-0.7287256121635437,0.0,0,0,blue-0,0,8464,0,3923.10498046875,186.64231872558594,103.28271484375,895.48388671875,39.244728088378906,-123.30754089355469,86.12518310546875,P_base,0,2826.235107421875,2860.379150390625,18.34699249267578,396.5776672363281,-211.81092834472656,-79.29495239257812,0.0,P_base,1,-1827.9283447265625,1360.3658447265625,17.027164459228516,251.9844512939453,241.04080200195312,0.11001601815223694,0.0,P_base,1,-454.8874816894531,-253.51596069335938,115.46790313720703,428.59796142578125,386.2913513183594,-57.05799865722656,0.0,P_base,1,0,0.1
25968,216.4,2407.727783203125,4544.61181640625,92.41563415527344,-13.86215877532959,-0.727669358253479,0.0,0,0,blue-0,0,8464,0,3969.089111328125,189.63287353515625,99.34606170654297,366.34649658203125,57.44969177246094,32.02052307128906,86.12518310546875,P_base,0,2850.612060546875,2846.96484375,32.13052749633789,353.3801574707031,-191.4510955810547,254.76925659179688,0.0,P_base,1,-1810.48388671875,1379.339599609375,17.02985382080078,262.85198974609375,320.69610595703125,0.007840245962142944,0.0,P_base,1,-426.1949462890625,-227.7482452392578,110.08724975585938,432.1619567871094,386.7345275878906,-98.90251922607422,0.0,P_base,1,0,0.1
25976,216.46666666666667,2406.8046875,4544.56298828125,92.41563415527344,-13.839056968688965,-0.726614773273468,0.0,0,0,blue-0,0,8464,0,3989.20849609375,194.14028930664062,98.21054077148438,291.8651428222656,64.15763854980469,-46.74364471435547,86.12518310546875,P_base,0,2874.350830078125,2834.751220703125,51.08981704711914,359.8614807128906,-174.69602966308594,306.9355163574219,0.0,P_base,1,-1792.6119384765625,1399.8082275390625,17.029769897460938,268.49981689453125,273.80999755859375,-0.01809746026992798,0.0,P_base,1,-397.3509216308594,-201.96165466308594,101.88465118408203,432.6595458984375,386.7997741699219,-141.99749755859375,0.0,P_base,1,0,0.1
