name,youtube,meme,cartoon
Great-Leveller,https://www.youtube.com/@TheOverlap,https://knowyourmeme.com/memes/waffle-falling-over-waffled,https://www.imdb.com/title/tt6517102/
turtle,https://www.youtube.com/@MoreBestEverFoodReviewShow,https://knowyourmeme.com/memes/i-dont-know-her,https://www.imdb.com/title/tt22248376/
aj1999,"https://www.youtube.com/@PewDiePie
https://www.youtube.com/@LinusTechTips
https://www.youtube.com/@GothamChess
https://www.youtube.com/@gameranxTV
https://www.youtube.com/@PolyMatter
https://www.youtube.com/@veritasium
https://www.youtube.com/@LEMMiNO
https://www.youtube.com/@aupmanyu
https://www.youtube.com/@playoverwatch
https://www.youtube.com/@kurzgesagt
https://www.youtube.com/@MarkRober
https://www.youtube.com/@mkbhd","https://knowyourmeme.com/memes/just-a-chill-guy-my-new-character
https://knowyourmeme.com/memes/absolute-cinema
https://knowyourmeme.com/memes/people/yusuf-dikec-turkish-pistol-shooter
https://knowyourmeme.com/memes/ew-brother-ew-whats-that
https://knowyourmeme.com/memes/nah-id-win
https://knowyourmeme.com/memes/bonk-cheems
https://knowyourmeme.com/memes/sad-hamster-hamster-with-big-eyes
https://knowyourmeme.com/memes/huh-cat
https://knowyourmeme.com/memes/screaming-cat
https://knowyourmeme.com/memes/woman-yelling-at-a-cat","https://www.imdb.com/title/tt0409591/
https://www.imdb.com/title/tt1355642/
https://www.imdb.com/title/tt2560140/
https://www.imdb.com/title/tt2098220/
https://www.imdb.com/title/tt3398540/
https://www.imdb.com/title/tt6517102/
https://www.imdb.com/title/tt0994314/
https://www.imdb.com/title/tt0760437/
https://www.imdb.com/title/tt0455295/
https://www.imdb.com/title/tt2861424/"
GoPokes17,"https://www.youtube.com/@SoftWhiteUnderbelly
https://www.youtube.com/@drdafshow
https://www.youtube.com/@jubilee
https://www.youtube.com/southpark
https://www.youtube.com/@whatsonstage
https://www.youtube.com/@Archdigest
https://www.youtube.com/@smosh","https://knowyourmeme.com/memes/forever-alone
https://knowyourmeme.com/memes/doge
https://knowyourmeme.com/memes/this-is-fine
https://knowyourmeme.com/memes/distracted-boyfriend
https://knowyourmeme.com/memes/blinking-white-guy
https://knowyourmeme.com/memes/success-kid-i-hate-sandcastles
https://knowyourmeme.com/memes/futurama-fry-not-sure-if","https://www.imdb.com/title/tt2861424/
https://www.imdb.com/title/tt0343314/
https://www.imdb.com/title/tt0168366/
https://www.imdb.com/title/tt0312109/
https://www.imdb.com/title/tt0290223/
https://www.imdb.com/title/tt0249327/
https://www.imdb.com/title/tt0328733/
https://www.imdb.com/title/tt0092345/
https://www.imdb.com/title/tt9335498/
https://www.imdb.com/title/tt1799631/
https://www.imdb.com/title/tt0434665/
https://www.imdb.com/title/tt22248376/
"
lololala,https://www.youtube.com/@ClubZeroMedia/videos,https://knowyourmeme.com/memes/katey-lorrell-scream-duets,https://www.imdb.com/title/tt2560140/
sweater,https://www.youtube.com/@ryan,https://knowyourmeme.com/memes/road-work-ahead,https://www.imdb.com/title/tt0206512/
tankengine3650,https://www.youtube.com/@mkbhd,https://knowyourmeme.com/memes/huh-cat,https://www.imdb.com/title/tt0417299/
lumenpath,https://www.youtube.com/@Sidemen,https://knowyourmeme.com/memes/young-michael-scott-shaking-ed-trucks-hand,"https://www.imdb.com/title/tt1910272/
https://www.imdb.com/title/tt6741278/"
princess-consuela-banana-hammock,https://www.youtube.com/@CalebHammer,https://knowyourmeme.com/memes/sad-hamster-hamster-with-big-eyes,https://www.imdb.com/title/tt0386676/
rc18,https://www.youtube.com/@mkbhd,,https://www.imdb.com/title/tt0760437/
satan-08,https://www.youtube.com/@CaspianReport,https://knowyourmeme.com/memes/respect-women,https://www.imdb.com/title/tt0168366/
turtle-hermit,"https://www.youtube.com/@veritasium
https://www.youtube.com/@dudeperfect",,"https://www.imdb.com/title/tt9335498/
https://www.imdb.com/title/tt0214341/
https://www.imdb.com/title/tt0220880/
https://www.imdb.com/title/tt0145628/"
bootstrap,https://www.youtube.com/@ZakirKhan,,https://www.imdb.com/title/tt0220880/
sherlock,https://www.youtube.com/@codestorywithMIK,https://knowyourmeme.com/memes/doge,https://www.imdb.com/title/tt0293734/
I-like-yogurt,https://www.youtube.com/@Flats_OW,https://knowyourmeme.com/memes/6-7-song-67-meme,https://www.imdb.com/title/tt0877057/
random-aliased,,https://knowyourmeme.com/memes/woman-yelling-at-a-cat,https://www.imdb.com/title/tt2098220/
minute-maid-123,https://www.youtube.com/@NickDiGiovanni,https://knowyourmeme.com/memes/pepe-the-frog,https://www.imdb.com/title/tt0214341/
sakamato-taro,https://www.youtube.com/@DiscoverConnection,https://knowyourmeme.com/memes/kids-interrupt-bbc-interview,https://www.imdb.com/title/tt0388629
catlover4,https://www.youtube.com/@jolly,,"https://www.imdb.com/title/tt2560140/
https://www.imdb.com/title/tt1942683/"
the_cs_nerd,https://www.youtube.com/@supertf,https://knowyourmeme.com/memes/distracted-boyfriend,https://www.imdb.com/title/tt0245429/
nerddd,,,https://www.imdb.com/title/tt0386917/
Void_avoider,https://www.youtube.com/@UnsolvedMysteriesFullEpisodes,https://knowyourmeme.com/memes/people/keanu-reeves,https://www.imdb.com/title/tt0409591/
anonymous,https://www.youtube.com/@OutdoorBoys,https://knowyourmeme.com/memes/huh-cat,https://www.imdb.com/title/tt3986702/
sir-gamblelot,"https://www.youtube.com/@AztecrossGaming
https://www.youtube.com/@ThePatMcAfeeShow
https://www.youtube.com/@GameGrumps
https://www.youtube.com/@OFFICIALTHENXSTUDIOS
https://www.youtube.com/@Formula1
https://www.youtube.com/@FilmTheory
https://www.youtube.com/@JoelSmythFootball
https://www.youtube.com/@TeamFourStar
https://www.youtube.com/@TheHerdOnFS1
https://www.youtube.com/@JeffNippard","https://knowyourmeme.com/memes/willem-dafoe-looking-up
https://knowyourmeme.com/memes/neuron-activation","https://www.imdb.com/title/tt0877057/
https://www.imdb.com/title/tt0206512/
https://www.imdb.com/title/tt1710308/
https://www.imdb.com/title/tt1305826/
https://www.imdb.com/title/tt0220880/
https://www.imdb.com/title/tt2560140/
https://www.imdb.com/title/tt0409591/
https://www.imdb.com/title/tt2861424/
https://www.imdb.com/title/tt12074628/
https://www.imdb.com/title/tt0182576/
https://www.imdb.com/title/tt1865718/
https://www.imdb.com/title/tt2359704/"
Pookie-princess ,https://www.youtube.com/@statquest,https://knowyourmeme.com/memes/forever-alone,https://www.imdb.com/title/tt0409591/
